taxid,genlen
219,6
512,7
550,6.3
712,13.3
714,10
811,7.1
818,7.8
899,4.5
1141,7
1151,5
1676,5.9
1677,4.5
1681,7
1793,3.9
1794,5.9
2055,10.2
2057,10
2058,9.4
2059,10
2060,10.3
2061,10
2062,9.1
2446,6.1
2447,5
2461,6.9
2609,7.5
2610,4.9
2611,6.3
2612,6.1
2613,7.8
2675,5
2814,8.7
2815,10.5
2828,5
2888,9
2890,9
2891,9
2892,10
2893,6.9
3126,8
3127,10
3128,8
3129,9
3160,8
3590,13
3744,5.2
3745,6.4
3746,7.5
3747,5
3748,4
3753,3.7
3755,4.4
3786,5.3
3787,7
3794,7
3795,7
3796,8
3797,4.9
3798,6.8
3810,6.1
3811,7.3
3812,7
3814,7
3815,7
3816,7
3847,5.6
4015,4
4037,6
4038,6.5
4137,1.8
4138,4.9
4139,5.6
4140,5
4141,2.2
4142,4.4
4143,4.2
4144,4.8
4145,4
4146,6.1
4148,5
4149,4.3
4150,5.7
4151,2.5
4152,5.3
4153,5
4154,5.5
4160,14
4185,18.1
4248,3.7
4256,7
4257,8
4265,5
4273,6.5
4274,8
4806,5
4819,4.9
5228,7.4
5229,7.7
5674,12.3
5760,7
5953,4.9
6082,5
6204,10
6232,6.6
6234,5.8
6235,6
6553,20
6557,17
6635,5
6793,5
6924,3.7
6925,3.7
6926,3.7
6927,3.4
6928,4.3
6929,4
7112,7
7121,9.3
7140,22
7750,15
7949,7.6
7950,6
7951,5
7953,9.3
7960,9
8010,19
8239,10
8327,7.4
8540,4.6
8541,4.4
8542,4
8543,7.2
8668,6.7
8833,5.2
8834,4.5
8967,4.9
8968,4.7
8969,6
8970,6
8971,4.4
8972,4
8973,5
8975,6
8976,5.7
8978,5.4
8982,6
8992,4.6
8994,6.9
8997,7
8998,7
9194,13
9561,6.3
9660,14
9760,10
9917,5.3
9918,5.5
9919,7
9948,5.6
10032,12.2
10053,3.7
10054,6.6
10103,10
10167,7.4
10170,7.8
10274,8.2
10276,7.3
10329,6
10340,14
10341,4.3
10831,11.5
11033,7.3
11034,7
11035,8.9
11036,6.6
11037,7
11186,9.5
11509,7.3
11510,6
11511,6
11638,7.7
11696,11
11933,5
12119,12.2
12142,7
12246,15
12302,8.2
12303,10
12304,6.2
12305,10
12392,25
12419,6.8
12420,6.7
12421,10
12427,10
12436,5
12518,8.3
12519,8.2
12520,4
12521,9.8
12592,5
12667,4.2
12668,4.2
12669,4.2
12670,4.8
12847,3.7
12848,5.6
12913,4
12914,7
13110,5.5
13143,10
13581,8.4
13653,11
13654,15
13894,7
13895,7
